Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cellular response to hormone stimulus (GO:0032870)	29/462	0.0000000001936869783035551796118541356930462492280664577037896378897130489349365234375	0.00000057234502088700554435344615422653902214733534492552280426025390625	0.00000009708454896108487513023085381524968084931970224715769290924072265625	0.000286884842180005800345299338260929289390332996845245361328125	-2.506419578982533	36.02608158167337	HDAC5;IRS1;RORA;AQP4;ADCY1;AACS;NR3C2;SOCS2;FGF9;HEY1;PRKAR2B;GRB10;SLIT2;PPARGC1A;EIF4B;KL;EGR1;SREBF1;GAB1;MYO5A;AKR1C4;FOS;PRLR;ESR2;SFRP1;WT1;KLF9;FOSB;VAMP2
metanephros development (GO:0001656)	8/35	0.000000049795843217565909211001252965278496276368969120085239410400390625	0.000022559804786427832719308828046678172540850937366485595703125	0.00000145430035476596978294438512746555858257124782539904117584228515625	0.0012999192294905512028158067749927795375697314739227294921875	-2.577151985563204	27.573827346877444	EGR1;OSR2;WT1;ID2;ITGA8;ID3;SPRY1;SLIT2
organic hydroxy compound metabolic process (GO:1901615)	27/476	0.000000007462083029007084235573277826610028018450293529895134270191192626953125	0.0000110252276753579675949885896546476260482450015842914581298828125	0.00000176736839895822268607411716090371811560544301755726337432861328125	0.0012999192294905512028158067749927795375697314739227294921875	-2.355072805813372	26.883920266557606	IDI1;INSIG1;HMGCR;NUDT4;NUDT11;TTR;PMVK;APOF;ENPP2;ACADM;LDLR;ABCC3;ABCA1;SREBF1;SLC10A1;DIO1;MYO5A;IGF1;AKR1C4;CYP7B1;CYP4F12;SREBF2;RBP4;ALB;SMPDL3A;SLC27A5;PLCD1
response to alcohol (GO:0097305)	19/274	0.0000000610756136349992091589592943003117486711062156246043741703033447265625	0.000022559804786427832719308828046678172540850937366485595703125	0.0000045345526001860573164629376885503830862944596447050571441650390625	0.00156623216825132961955990840152708187815733253955841064453125	-2.4304182648658204	26.00387326456499	ABCA1;EGR1;CASR;IL15;RORA;AQP4;HMGCR;FOS;AACS;SOCS2;SFRP1;RBP4;OXCT1;CYP1A2;PMVK;FOSB;TK1;SLIT2;S100A9
monocarboxylic acid metabolic process (GO:0032787)	26/473	0.0000000270592490419483745786211775254115341482474832446314394474029541015625	0.000022559804786427832719308828046678172540850937366485595703125	0.000004757212256196011415545869815968416105533833615481853485107421875	0.00156623216825132961955990840152708187815733253955841064453125	-2.3495721598522095	25.138873235928475	PON3;HPGD;LPL;PTPLB;ENO2;ACACA;AACS;HK2;PRKAR2B;ME3;ACADM;PPARGC1A;CYP2J2;ABCC3;SLC10A1;MYO5A;IGF1;AKR1C4;CYP7B1;CYP4F12;PCCA;SCD;FASN;ALB;CYP1A2;SLC27A5
steroid metabolic process (GO:0008202)	18/240	0.00000004166219404740724464268682050542558226169376212055794894695281982421875	0.000022559804786427832719308828046678172540850937366485595703125	0.00000292664282641583281375867973961302226371117285452783107757568359375	0.00144137159200979762287142538212947329157032072544097900390625	-2.293038761415033	24.534003140345707	ABCA1;ABCC3;IDI1;SREBF1;SLC10A1;INSIG1;HMGCR;AKR1C4;CYP7B1;PRLR;SREBF2;ALB;CYP1A2;PMVK;APOF;PPARGC1A;LDLR;SLC27A5
regulation of cellular response to growth factor stimulus (GO:0090287)	15/176	0.00000010818080403941028386143410368325223913643640116788446903228759765625	0.0000355193639929397082972972743419859398272819817066192626953125	0.00000477025025863349135435594050580476732648094184696674346923828125	0.00156623216825132961955990840152708187815733253955841064453125	-2.322417271958283	23.79416950259608	NGFR;SIRT1;DUSP6;SMAD7;TGFBR3;FGF9;BAMBI;IL1B;ADAMTSL2;GRB10;ITGA8;PMEPA1;SPRY2;SPRY1;SLIT2
kidney development (GO:0001822)	13/122	0.00000005614486744164797299308259314297442355012890402576886117458343505859375	0.000022559804786427832719308828046678172540850937366485595703125	0.00000219952492299585648259977431473455311561338021419942378997802734375	0.0012999192294905512028158067749927795375697314739227294921875	-2.220191665773666	23.75458723892088	EGR1;TFAP2B;OSR2;KCNJ8;ZBTB16;TCF21;WT1;ID2;ITGA8;AGTR1;ID3;SPRY1;SLIT2
kidney epithelium development (GO:0072073)	10/62	0.00000003651237344844295863352705094027894627828345619491301476955413818359375	0.000022559804786427832719308828046678172540850937366485595703125	0.000001188303182657270271719326774906289045929952408187091350555419921875	0.0012999192294905512028158067749927795375697314739227294921875	-2.1999874666017187	23.5384156267032	TFAP2B;SFRP1;BDNF;WT1;TCF21;SPRY1;UMOD;SLIT2;POU3F3;SMAD7
negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	7/32	0.0000004848500045940087659093156897960330553587482427246868610382080078125	0.00010233798311252113931273111102626671709003858268260955810546875	0.000008637808220485482309128170974599214559930260293185710906982421875	0.0023997387541424288447122759038165895617567002773284912109375	-2.5116333334802396	23.07495226266287	PER1;SFRP1;TCF21;IGF1;CYP7B1;SIRT1;ESR2
angiogenesis (GO:0001525)	17/236	0.000000178083714141467965247104198421579379640888873836956918239593505859375	0.000052623737528803790652366656477312290007830597460269927978515625	0.00000912005827218790110304767748683474337667576037347316741943359375	0.0023997387541424288447122759038165895617567002773284912109375	-2.2904384698646507	22.566186012314247	NRP1;EGF;RORA;PLXDC1;SIRT1;APOLD1;TMEM100;ESM1;HEY1;FGF9;ID1;THSD7A;PRKD1;EPHB2;PLCD1;EPHB3;JAM3
rhythmic process (GO:0048511)	17/252	0.0000004516285573934043280579079572556455701715094619430601596832275390625	0.00010233798311252113931273111102626671709003858268260955810546875	0.0000202595699401307384533536815052201518483343534171581268310546875	0.00399113527820575512972123277677383157424628734588623046875	-2.4269686401403083	22.297118280644142	EGR1;SREBF1;NGFR;BDNF;RORA;ADCY1;SIRT1;ESR2;PER1;PER3;DBP;ID2;ALB;ID1;ID3;SLIT2;PPARGC1A
response to extracellular stimulus (GO:0009991)	19/313	0.0000004818817476833241983356372582780746682828976190648972988128662109375	0.00010233798311252113931273111102626671709003858268260955810546875	0.00002655738745370746410287034200425893004648969508707523345947265625	0.004904817495356597438493917451296510989777743816375732421875	-2.426179154063659	22.289865090742623	ABCA1;EGR1;SREBF1;CASR;IL15;BDNF;BCKDHB;HMGCR;FOS;SIRT1;AACS;SFRP1;ZFP36;OXCT1;ALB;ITGA6;ACADM;TK1;PPARGC1A
tube development (GO:0035295)	14/164	0.00000028278848827884258532224122893727891181470113224349915981292724609375	0.000075967271169452709627702147177075175932259298861026763916015625	0.000009745131996517476680326995397418698985347873531281948089599609375	0.0023997387541424288447122759038165895617567002773284912109375	-2.3074740918156547	21.886871606888835	TFAP2B;BDNF;TCF21;UMOD;POU3F3;SMAD7;SFRP1;FGF9;WT1;ITGA6;SPRY1;HES1;TK1;SLIT2
negative regulation of androgen receptor signaling pathway (GO:0060766)	5/13	0.000001006885836619583128627984126846062196136699640192091464996337890625	0.00018595922795067924664091929543019432458095252513885498046875	0.000018412001861148739770106252944259495052392594516277313232421875	0.003886247535692465872314560471068034530617296695709228515625	-2.50435649083286	21.512379964800903	SFRP1;TCF21;IGF1;SIRT1;ESR2
circadian rhythm (GO:0007623)	12/127	0.0000006821251025886850408557209209103877611823918414302170276641845703125	0.000134378645209970947436983745859606642625294625759124755859375	0.00001666433284726656559814571278987926916670403443276882171630859375	0.0037879310433594384592559389801635916228406131267547607421875	-2.2721648035207336	20.25600619990727	PER1;EGR1;SREBF1;NGFR;PER3;BDNF;ID2;ALB;RORA;ADCY1;PPARGC1A;SIRT1
