Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CCR chemokine receptor binding (GO:0048020)	7/17	0.000000029659372445654378394431786489758573477359959724708460271358489990234375	0.00001972348267636016134443828484723582050719414837658405303955078125	0.00000221748119644240522776372330493455109490241738967597484588623046875	0.0014746249956341995514252918297870564856566488742828369140625	-3.2199052905417673	34.88348993629029	STAT1;CCL5;CCL2;CCL19;CXCL13;CCR2;JAK1
protein homodimerization activity (GO:0042803)	37/653	0.0000000629607357054475076724845187224610665310819967999123036861419677734375	0.000020934444622061295672443836934917271719314157962799072265625	0.000046616272210772574679550628307111992398859001696109771728515625	0.00774995525504094083524275760055388673208653926849365234375	-2.4560654521743803	26.46193086179755	C1QB;ACHE;SLC22A6;CEBPB;PDXK;MAOB;PEX11A;LRP4;CORO1A;SRM;DPP4;UPK1A;ATIC;LGALS1;CCL5;FLNA;HMOX1;CCR2;ANXA1;SLC16A1;STAT1;EPHX2;TNNC1;ADIPOQ;ASNS;SNF8;IGJ;HLA-G;P2RX7;GREM2;PTPRE;P2RX4;APOC2;ALOX5AP;S100A6;BAX;CRYL1
enzyme inhibitor activity (GO:0004857)	23/336	0.000000917818505272844372574439671119694850176529143936932086944580078125	0.00012206986120128830134064223944534433030639775097370147705078125	0.00010718655433556315633054911717891855005291290581226348876953125	0.01187392698132291694868012399410872603766620159149169921875	-2.5039303663520527	22.562708815965074	CSTB;CDKN1A;TNFAIP8;ANXA1;ANXA3;GMFG;TFPI2;SERPINE1;HSPB1;IQGAP2;SERPINA6;AGT;WFDC2;SERPINB6;C3;SLPI;APOC2;SCG5;ANGPTL3;TXNIP;ANGPTL4;TIMP1;SNCA
chemokine receptor binding (GO:0042379)	10/57	0.00000029263840839989823110713269317673113079081304022110998630523681640625	0.0000648681805286441064660463151625435784808360040187835693359375	0.000010929905212066831759749711838747288084050524048507213592529296875	0.0036341934830122217710279830527042577159591019153594970703125	-2.24326215601285	21.63212095022211	CCL13;CXCL10;STAT1;CCL5;CCL2;CCL19;CXCL13;CXCL3;CCR2;JAK1
collagen binding (GO:0005518)	10/62	0.0000006629591319827534859237855476010725652713517774827778339385986328125	0.000110216955692132761502645410534029224436380900442600250244140625	0.00002098069448974102037025653288981885680186678655445575714111328125	0.0046507206118925926985330221441472531296312808990478515625	-2.216387375209454	20.19807071280303	ACHE;SPARC;PCOLCE2;ITGA1;FN1;TGFBI;THBS1;MMP9;CD44;CTSS
G-protein coupled receptor binding (GO:0001664)	18/229	0.00000205662764643978972128380601491759449572782614268362522125244140625	0.00022794289748041002426591494778307378510362468659877777099609375	0.00012385117783598350552250189071656905070994980633258819580078125	0.01187392698132291694868012399410872603766620159149169921875	-2.342561497317053	19.645693840030756	CCL13;EDN1;STAT1;ADM;CXCL3;CXCL13;AGT;GNAI2;C3;CXCL10;GPRC5B;UCHL1;CCL5;CCL2;FLNA;CCL19;JAK1;CCR2
cell adhesion molecule binding (GO:0050839)	15/168	0.00000308099084162414166930391880294681783425403409637510776519775390625	0.00029269412995429344714892749834689311683177947998046875	0.00012498870506655700824381882707569957347004674375057220458984375	0.01187392698132291694868012399410872603766620159149169921875	-2.2889429938069554	18.623715533561448	FGB;VCAM1;ACTN1;FGG;ITGA1;ITGB2;FN1;ADAM11;THBS1;ICAM1;COL3A1;P2RX4;GPNMB;ANGPTL3;TGFBI
peptidase regulator activity (GO:0061134)	16/209	0.00001057249727925175595134692219101424370819586329162120819091796875	0.00079657015170356867787837540362261279369704425334930419921875	0.0003841811518433652333608108175866391320596449077129364013671875	0.0255480465975837893466415806642544339410960674285888671875	-2.3557309702235427	16.808600682340778	CSTB;TNFAIP8;PCOLCE2;TFPI2;SERPINE1;FN1;RPS27L;SERPINA6;AGT;WFDC2;SERPINB6;C3;SLPI;CASP1;TIMP1;SNCA
integrin binding (GO:0005178)	11/102	0.000010780648669672358665508858643899969820267870090901851654052734375	0.00079657015170356867787837540362261279369704425334930419921875	0.00022610110677695463760918104245689619347103871405124664306640625	0.01879465450083435407169218933631782419979572296142578125	-2.2348057263044043	15.945775443320137	COL3A1;VCAM1;GPNMB;ACTN1;ITGA1;FN1;ANGPTL3;ADAM11;TGFBI;THBS1;ICAM1
glycosaminoglycan binding (GO:0005539)	15/190	0.00001380106557535330257294702016590548510066582821309566497802734375	0.000917770860760994643123833469644523574970662593841552734375	0.0004300502932442905215486284031811692329938523471355438232421875	0.02599849500067756558063791771928663365542888641357421875	-2.2575870576598054	15.788576876661587	PCOLCE2;FN1;THBS2;CXCL13;THBS1;IGJ;CXCL10;GREM2;PTPRC;GPNMB;DPYSL3;CCL2;FGF12;CD44;TLR2
lipase inhibitor activity (GO:0055102)	5/18	0.00002853110275667588796133337936122842393160681240260601043701171875	0.00172483484847176979891381076726020182832144200801849365234375	0.0003067928603739261965606399673589521626126952469348907470703125	0.0226685835720734363274431188983726315200328826904296875	-2.4093511158879504	15.32979516956041	ANXA1;ANXA3;APOC2;ANGPTL3;SNCA
cytokine activity (GO:0005125)	15/213	0.0000524570032588297932509176224602498450622078962624073028564453125	0.0026312829262256300262567965120297230896539986133575439453125	0.00128453187461059488254366822701513228821568191051483154296875	0.0569475797744030398650494362300378270447254180908203125	-2.3130389379015464	13.740107609184241	CCL13;IL33;EDN1;GDF15;ADIPOQ;CXCL13;CXCL3;GREM1;CXCL10;GREM2;CCL5;CCL2;TIMP1;CCL19;LTB
chemokine activity (GO:0008009)	7/47	0.000055395430025802734684374495355285716868820600211620330810546875	0.0026312829262256300262567965120297230896539986133575439453125	0.000567966298218393924983338205692007250036112964153289794921875	0.03147479902626933168097167481391807086765766143798828125	-2.1751311062087386	12.920895957984143	CXCL10;CCL13;CCL5;CCL2;CCL19;CXCL13;CXCL3
structural constituent of cytoskeleton (GO:0005200)	10/100	0.0000521884829261272313962773117257398780566290952265262603759765625	0.0026312829262256300262567965120297230896539986133575439453125	0.00074555280035430260103523902870392703334800899028778076171875	0.038137893248893169062530006385713932104408740997314453125	-2.1647178386303643	12.85903819383431	TUBB6;TUBB2B;KRT19;TUBA1A;TUBB2A;TUBB;EPB41L3;VIM;KRT20;PLS1
sulfur compound binding (GO:1901681)	14/206	0.00013507921262311290843023681151890968976658768951892852783203125	0.00561422977464813045822555892527816467918455600738525390625	0.002509469766639981815059545766644077957607805728912353515625	0.08423404986057046739400533397201797924935817718505859375	-2.1532183484684593	11.158948309812295	PCOLCE2;ECI2;FN1;THBS2;CXCL13;THBS1;CXCL10;GREM2;PTPRC;GPNMB;DPYSL3;CCL2;CD34;FGF12
heme binding (GO:0020037)	11/137	0.0001653937123995572670669129689002829763921909034252166748046875	0.006469812867394446331825719198604929260909557342529296875	0.0021641149540893730128521266209418172365985810756683349609375	0.08423404986057046739400533397201797924935817718505859375	-2.133968323850455	10.756498005562774	HEBP1;CYP27B1;CYP26B1;CYP24A1;PXDN;CYP4A22;CYP4A11;HMOX1;CYBB;CYP2E1;CYP2F1
endopeptidase inhibitor activity (GO:0004866)	12/166	0.00022759199676199997502447358588284487268538214266300201416015625	0.007491350363999495394484728905126758036203682422637939453125	0.003131136954366877701849691817415077821351587772369384765625	0.0991526702216178057458506600596592761576175689697265625	-2.1611318870121212	10.576592873039726	C3;CSTB;TNFAIP8;SLPI;TFPI2;SERPINE1;TIMP1;SERPINA6;AGT;WFDC2;SERPINB6;SNCA
protease binding (GO:0002020)	8/77	0.00022391462626576618603728430212385092090698890388011932373046875	0.007491350363999495394484728905126758036203682422637939453125	0.0019923176772104534727747537914410713710822165012359619140625	0.08280570345905947926556933680330985225737094879150390625	-2.140879136776576	10.477475787642003	DPP4;CSTB;SERPINE1;FN1;TNFAIP3;TIMP1;F3;SERPINB6
endopeptidase regulator activity (GO:0061135)	12/171	0.00029924328502839371742016982835821181652136147022247314453125	0.008512891513077276706145113394086365588009357452392578125	0.0039185346812765746438156355679893749766051769256591796875	0.10529118862941337642080696923585492186248302459716796875	-2.122472904440472	10.11607435747622	C3;CSTB;TNFAIP8;SLPI;TFPI2;SERPINE1;TIMP1;SERPINA6;AGT;WFDC2;SERPINB6;SNCA
heparin binding (GO:0008201)	11/140	0.00020016777201775200960114087234131829973193816840648651123046875	0.007395087132878059958673855334154723095707595348358154296875	0.002533354883024675763270039396957145072519779205322265625	0.08423404986057046739400533397201797924935817718505859375	-2.056070618690574	10.08901392847571	CXCL10;GREM2;PTPRC;GPNMB;PCOLCE2;FN1;CCL2;THBS2;CXCL13;THBS1;FGF12
GTPase activity (GO:0003924)	14/224	0.000321284682710955174327061012462536382372491061687469482421875	0.008512891513077276706145113394086365588009357452392578125	0.005067259971713079964861226045513831195421516895294189453125	0.1123242627063066045867145703596179373562335968017578125	-2.114214624339076	10.076713960744744	RRAD;TUBB;GNL2;RHOB;GNAI2;RAB32;TUBB6;TUBB2B;RAB30;TUBA1A;TUBB2A;RAC2;GBP2;RAB6B
peptidase inhibitor activity (GO:0030414)	12/173	0.0003328348561503897376674665498086369552765972912311553955078125	0.008512891513077276706145113394086365588009357452392578125	0.004274980590968663167472652020251189242117106914520263671875	0.10529118862941337642080696923585492186248302459716796875	-2.1099222485076297	10.05625575230764	C3;CSTB;TNFAIP8;SLPI;TFPI2;SERPINE1;TIMP1;SERPINA6;AGT;WFDC2;SERPINB6;SNCA
iron ion binding (GO:0005506)	12/172	0.0003156604527524090194300077083511268938309513032436370849609375	0.008512891513077276706145113394086365588009357452392578125	0.00409364101195796269150317669982541701756417751312255859375	0.10529118862941337642080696923585492186248302459716796875	-2.1035724598896928	10.025991557330679	CYP27B1;CYP26B1;EGLN3;CYP24A1;P4HA2;CYP4A22;CYP4A11;LCN2;BBOX1;CYP2E1;CYP2F1;SNCA
tetrapyrrole binding (GO:0046906)	11/146	0.000288528669154913797699479882652440210222266614437103271484375	0.008512891513077276706145113394086365588009357452392578125	0.0034245907748002043895219070890334478463046252727508544921875	0.1035160393291879865618199119126074947416782379150390625	-2.0880396333283637	9.951959409194677	HEBP1;CYP27B1;CYP26B1;CYP24A1;PXDN;CYP4A22;CYP4A11;HMOX1;CYBB;CYP2E1;CYP2F1
phospholipase inhibitor activity (GO:0004859)	4/13	0.000122338032723536276231979247341996597242541611194610595703125	0.00542365278407677502137129721404562587849795818328857421875	0.00092285462595474818288387997000654650037176907062530517578125	0.043835594732850535759638432864448986947536468505859375	-1.897895745121434	9.901295048037948	ANXA1;ANXA3;ANGPTL3;SNCA
cytokine receptor binding (GO:0005126)	14/228	0.00038426223520164810333599181291219792910851538181304931640625	0.0094224681546205453497311310684381169266998767852783203125	0.00585401709767600746114890597482371958903968334197998046875	0.11796731424104682506293073629421996884047985076904296875	-2.11966011817519	9.887489978050585	CCL13;STAT1;CXCL3;CXCL13;GREM1;CXCL10;CCL5;PXDN;NTF3;CCL2;CCL19;LTB;JAK1;CCR2
actin filament binding (GO:0051015)	9/98	0.00023656895886314195155165907014094273108639754354953765869140625	0.007491350363999495394484728905126758036203682422637939453125	0.002333682799379492404934222093970674904994666576385498046875	0.08423404986057046739400533397201797924935817718505859375	-2.0077540350245195	9.825960713122356	TNNC1;ACTN1;FLNA;LCP1;IQGAP2;CORO1A;AIF1;LRPPRC;PLS1
lipase activity (GO:0016298)	9/105	0.0003967355012471809167472203139226394341676495969295501708984375	0.0094224681546205453497311310684381169266998767852783203125	0.00358408781321416063103679761070452514104545116424560546875	0.10362688677336595599598467742907814681529998779296875	-1.9586029578348714	9.136213372379896	PNLIPRP1;CCL5;PLCL2;C3AR1;HMOX1;ABHD6;SMPDL3B;HRASLS;LIPA
