Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of response to external stimulus (GO:0032103)	27/201	0.0000000000000219519554961301468523234652408581952823750892134224699248079559765756130218505859375	0.000000000073956138066462465382877365815028798678998356308511574752628803253173828125	0.00000000008861213737667216681408778359307931195287810766103575588203966617584228515625	0.00000029853429082200853484342314460298073441890664980746805667877197265625	-2.3973020128212	55.923179997575296	SERPINE1;HSPB1;CXCL13;THBS1;AIF1;CTSS;C3;CYP27B1;CCL5;NTF3;RAC2;C3AR1;CCL2;CCL19;CCR2;CD74;IL33;EDN1;FCER1G;LY86;F3;AGT;CXCL10;GPRC5B;FABP4;ALOX5AP;TLR2
inflammatory response (GO:0006954)	36/376	0.0000000000000443971242593491794206652639156915418500452992500715510004738462157547473907470703125	0.00000000007478695581487369114061160851953855531470960471551734372042119503021240234375	0.0000000004100714703693513891246766813630277026536674611634225584566593170166015625	0.0000006907653918371723660734641525582588883480639196932315826416015625	-2.379808869344987	55.48852229357418	CCL13;CEBPB;ITGB2;C5AR1;LY75;CXCR4;TNFAIP3;CXCL13;CXCL3;LIPA;THBS1;AIF1;C3;CLEC7A;CCL5;C3AR1;CCL2;TSPAN2;CCL19;CCR2;MBL2;CD163;ANXA1;VCAM1;EPHX2;F2R;LY86;FN1;CYBB;NMI;LYZ;CXCL10;VNN1;BCL6;NUPR1;TLR2
cellular response to cytokine stimulus (GO:0071345)	38/471	0.00000000000182099396806804973274080597709541893582108063043278889381326735019683837890625	0.0000000015337321696053148918438084524133550867741604406546684913337230682373046875	0.0000000108261334895883735840994597046139935603292769883410073816776275634765625	0.00000467207035236583156402601080259273658157326281070709228515625	-2.458454086641431	49.895706713490554	CXCR4;AAAS;LRP8;CORO1A;THBS1;AIF1;EDA2R;ICAM1;TUBA1A;CCL5;DPYSL3;ANKRD1;CCL2;GBP2;HLA-DQA1;JAK1;CCR2;FGB;CD74;EDN1;VCAM1;STAT1;ADIPOQ;KRT8;HLA-G;PSMB8;CXCL10;GREM2;KRT18;OAS1;IRF1;IRF8;HCLS1;IL7R;CD44;SLC26A6;HLA-DQB1;MCM2
positive regulation of cellular component movement (GO:0051272)	29/296	0.00000000000806303206106216400832773085488743534943179014362613088451325893402099609375	0.0000000038806221448169190055032371400485502466182197167654521763324737548828125	0.0000000139166969913200323613810136728734245803451585743459872901439666748046875	0.00000467207035236583156402601080259273658157326281070709228515625	-2.4915658885162055	48.254830156642676	SPARC;SERPINE1;HSPB1;CXCL13;CORO1A;THBS1;AIF1;ICAM1;P2RY6;CCL5;NTF3;C3AR1;RAC2;CCL2;CCL19;CCR2;CD74;EDN1;ANXA3;F2R;F3;MMP9;AGT;COL1A1;CXCL10;PTPRC;BCL6;ANGPTL3;TLR2
regulation of leukocyte activation (GO:0002694)	33/390	0.0000000000157014936172392525993623005398224933178152884494238605839200317859649658203125	0.0000000046528894927639297701718354796120158400896116290823556482791900634765625	0.00000003718410679155963260183906209099813366947273607365787029266357421875	0.00000569423889912565417783553434194487863351241685450077056884765625	-2.5050430967947146	48.06119926768226	CDKN1A;CD83;TNFAIP3;CD3G;SAMSN1;CORO1A;THBS1;AIF1;DPP4;HLA-DMA;LGALS1;CCL5;CCL2;HMOX1;CCL19;HLA-DQA1;CCR2;SNCA;IL33;CD74;FCER1G;VCAM1;IGFBP2;HLA-G;PTPRE;VNN1;PTPRC;BCL6;IRF1;MZB1;IL7R;ADA;HLA-DQB1
response to lipopolysaccharide (GO:0032496)	26/228	0.0000000000032086283026464016589915463076168868571634573694240089025697670876979827880859375	0.000000002161973750323145640503909848902965029626699333675787784159183502197265625	0.000000004713100898652007931310944986551259017204529300215654075145721435546875	0.00000329689360081826030967992735565275097542325966060161590576171875	-2.398174421991222	47.84896184370886	SPON2;CEBPB;SPARC;MAOB;NCF2;GFI1;C5AR1;SERPINE1;TNFAIP3;ADM;ICAM1;CYP27B1;CCL5;DPYSL3;ANKRD1;CASP1;CCL2;CD36;SNCA;EDN1;VCAM1;STAT1;F2R;CXCL10;IRF8;TLR2
positive regulation of cell migration (GO:0030335)	28/280	0.00000000001143222962381172418581632017020477290296376349232332358951680362224578857421875	0.0000000046528894927639297701718354796120158400896116290823556482791900634765625	0.00000001664139039132976608038983292771340050109074581996537744998931884765625	0.00000467207035236583156402601080259273658157326281070709228515625	-2.469482108917634	47.3789340696492	SPARC;SERPINE1;HSPB1;CXCL13;CORO1A;THBS1;AIF1;ICAM1;P2RY6;CCL5;NTF3;C3AR1;RAC2;CCL2;CCL19;CCR2;CD74;EDN1;ANXA3;F2R;F3;MMP9;AGT;COL1A1;CXCL10;PTPRC;ANGPTL3;TLR2
regulation of leukocyte migration (GO:0002685)	19/110	0.00000000000174950582101780581301670020101545789670272057492184103466570377349853515625	0.0000000015337321696053148918438084524133550867741604406546684913337230682373046875	0.0000000014821091132573480498178803752939818039191521847897092811763286590576171875	0.0000016644085341880018630474069585289953465689904987812042236328125	-2.3263844022281863	47.21527827879527	IL33;CD74;EDN1;SERPINE1;CXCL13;THBS1;AIF1;ICAM1;GREM1;CXCL10;CCL5;RAC2;C3AR1;CCL2;HMOX1;CCL19;ADA;TLR2;CCR2
positive regulation of cell motility (GO:2000147)	28/287	0.000000000020635897853672722025697911074474701076386651266147964634001255035400390625	0.00000000534787229761718461840670521914055390855224914048449136316776275634765625	0.00000002707293916474676081370149692724436096824547348660416901111602783203125	0.0000052192773718329793140001393592086742501123808324337005615234375	-2.4583242963198795	46.822638556535395	SPARC;SERPINE1;HSPB1;CXCL13;CORO1A;THBS1;AIF1;ICAM1;P2RY6;CCL5;NTF3;C3AR1;RAC2;CCL2;CCL19;CCR2;CD74;EDN1;ANXA3;F2R;F3;MMP9;AGT;COL1A1;CXCL10;PTPRC;ANGPTL3;TLR2
response to molecule of bacterial origin (GO:0002237)	26/243	0.00000000001381459301838948408614521495838133751700438356380118420929647982120513916015625	0.0000000046528894927639297701718354796120158400896116290823556482791900634765625	0.000000015653952320953684755476637241282389378937978108297102153301239013671875	0.00000467207035236583156402601080259273658157326281070709228515625	-2.420303804595433	46.4354100693235	SPON2;CEBPB;SPARC;MAOB;NCF2;GFI1;SERPINE1;C5AR1;TNFAIP3;ADM;ICAM1;CYP27B1;CCL5;DPYSL3;CASP1;ANKRD1;CCL2;CD36;SNCA;EDN1;VCAM1;STAT1;F2R;CXCL10;IRF8;TLR2
